If	Claim-B
you	Claim-I
can	Claim-I
I	Claim-I
would	Claim-I
suggest	Claim-I
Private	Claim-I
schooling	Claim-I
.	Claim-I
Worked	Backing-B
for	Backing-I
us	Backing-I
.	Backing-I
I	O
guess	O
it	O
depends	O
on	O
your	O
child	O
as	O
well	O
and	O
the	O
dynamics	O
of	O
your	O
family	O
(	O
boys	O
/	O
girls	O
/	O
both	O
/	O
number	O
of	O
kids	O
)	O
.	O
We	O
have	O
2	O
boys	O
and	O
they	O
are	O
going	O
to	O
a	O
boys	O
only	O
private	O
school	O
and	O
we	O
'	O
re	O
thinking	O
of	O
sending	O
them	O
to	O
a	O
boys	O
only	O
High	O
school	O
as	O
well	O
.	O
It	Premise-B
is	Premise-I
very	Premise-I
costly	Premise-I
,	Premise-I
but	Premise-I
I	Premise-I
believe	Premise-I
that	Premise-I
the	Premise-I
two	Premise-I
things	Premise-I
you	Premise-I
can	Premise-I
give	Premise-I
your	Premise-I
children	Premise-I
are	Premise-I
a	Premise-I
good	Premise-I
education	Premise-I
and	Premise-I
lots	Premise-I
of	Premise-I
love	Premise-I
.	Premise-I
