I	Claim-B
don	Claim-I
'	Claim-I
t	Claim-I
know	Claim-I
about	Claim-I
the	Claim-I
rest	Claim-I
of	Claim-I
Virginia	Claim-I
,	Claim-I
but	Claim-I
in	Claim-I
Northern	Claim-I
Virginia	Claim-I
we	Claim-I
have	Claim-I
excellent	Claim-I
public	Claim-I
schools	Claim-I
.	Claim-I
The	O
public	O
schools	O
are	O
not	O
churches	O
and	O
that	O
seems	O
to	O
be	O
the	O
problem	O
for	O
some	O
.	O
There	Backing-B
are	Backing-I
many	Backing-I
parents	Backing-I
who	Backing-I
attend	Backing-I
my	Backing-I
church	Backing-I
who	Backing-I
send	Backing-I
their	Backing-I
children	Backing-I
to	Backing-I
public	Backing-I
schools	Backing-I
to	Backing-I
attain	Backing-I
essential	Backing-I
knowledge	Backing-I
that	Backing-I
they	Backing-I
will	Backing-I
need	Backing-I
to	Backing-I
find	Backing-I
a	Backing-I
job	Backing-I
or	Backing-I
go	Backing-I
on	Backing-I
to	Backing-I
college	Backing-I
.	Backing-I
They	Backing-I
also	Backing-I
ensure	Backing-I
that	Backing-I
their	Backing-I
children	Backing-I
are	Backing-I
trained	Backing-I
in	Backing-I
the	Backing-I
Christian	Backing-I
faith	Backing-I
.	Backing-I
It	O
truly	O
is	O
not	O
fair	O
to	O
deny	O
children	O
an	O
education	O
that	O
they	O
need	O
to	O
make	O
their	O
way	O
in	O
the	O
world	O
.	O
Protecting	O
them	O
from	O
heathen	O
children	O
is	O
not	O
a	O
viable	O
strategy	O
.	O
Once	Premise-B
they	Premise-I
start	Premise-I
working	Premise-I
,	Premise-I
or	Premise-I
going	Premise-I
to	Premise-I
college	Premise-I
,	Premise-I
they	Premise-I
are	Premise-I
going	Premise-I
to	Premise-I
be	Premise-I
subjected	Premise-I
to	Premise-I
the	Premise-I
reality	Premise-I
of	Premise-I
the	Premise-I
secular	Premise-I
world	Premise-I
we	Premise-I
live	Premise-I
in	Premise-I
,	Premise-I
and	Premise-I
it	Premise-I
is	Premise-I
better	Premise-I
to	Premise-I
prepare	Premise-I
them	Premise-I
for	Premise-I
dealing	Premise-I
with	Premise-I
that	Premise-I
fact	Premise-I
before	Premise-I
they	Premise-I
are	Premise-I
18	Premise-I
years	Premise-I
old	Premise-I
.	Premise-I
