I	Backing-B
'	Backing-I
ve	Backing-I
had	Backing-I
my	Backing-I
children	Backing-I
in	Backing-I
parochial	Backing-I
school	Backing-I
,	Backing-I
switched	Backing-I
to	Backing-I
public	Backing-I
and	Backing-I
now	Backing-I
a	Backing-I
charter	Backing-I
school	Backing-I
.	Backing-I
Our	Backing-I
family	Backing-I
switched	Backing-I
back	Backing-I
to	Backing-I
the	Backing-I
charter	Backing-I
school	Backing-I
after	Backing-I
doing	Backing-I
exactly	Backing-I
what	Backing-I
the	Backing-I
writer	Backing-I
suggested	Backing-I
.	Backing-I
We	Premise-B
put	Premise-I
all	Premise-I
of	Premise-I
our	Premise-I
effort	Premise-I
into	Premise-I
making	Premise-I
the	Premise-I
system	Premise-I
better	Premise-I
,	Premise-I
joined	Premise-I
every	Premise-I
group	Premise-I
,	Premise-I
volunteered	Premise-I
at	Premise-I
the	Premise-I
school	Premise-I
and	Premise-I
all	Premise-I
events	Premise-I
.	Premise-I
Reality	Premise-I
sunk	Premise-I
in	Premise-I
.	Premise-I
Very	Premise-I
little	Premise-I
changed	Premise-I
with	Premise-I
all	Premise-I
our	Premise-I
efforts	Premise-I
.	Premise-I
Teachers	Premise-I
voted	Premise-I
against	Premise-I
everything	Premise-I
us	Premise-I
as	Premise-I
parents	Premise-I
were	Premise-I
trying	Premise-I
to	Premise-I
accomplish	Premise-I
.	Premise-I
So	O
we	O
had	O
to	O
do	O
what	O
was	O
best	O
for	O
our	O
children	O
by	O
finding	O
a	O
school	O
that	O
fit	O
the	O
same	O
values	O
we	O
were	O
trying	O
to	O
instill	O
in	O
our	O
children	O
.	O
We	O
aren	O
'	O
t	O
interested	O
in	O
whether	O
you	O
like	O
it	O
or	O
not	O
.	O
Sometimes	O
some	O
of	O
us	O
are	O
trying	O
to	O
make	O
the	O
world	O
a	O
better	O
place	O
starting	O
with	O
our	O
children	O
.	O
