I	Claim-B
believe	Claim-I
the	Claim-I
demise	Claim-I
of	Claim-I
our	Claim-I
schools	Claim-I
are	Claim-I
solely	Claim-I
due	Claim-I
in	Claim-I
part	Claim-I
to	Claim-I
the	Claim-I
removal	Claim-I
of	Claim-I
prayer	Claim-I
in	Claim-I
schools	Claim-I
.	Claim-I
When	O
you	O
remove	O
God	O
you	O
invite	O
everything	O
that	O
is	O
wicked	O
to	O
come	O
in	O
and	O
destroy	O
.	O
Removal	Rebuttal-B
of	Rebuttal-I
prayer	Rebuttal-I
in	Rebuttal-I
schools	Rebuttal-I
is	Rebuttal-I
not	Rebuttal-I
a	Rebuttal-I
violation	Rebuttal-I
of	Rebuttal-I
the	Rebuttal-I
third	Rebuttal-I
amendmant	Rebuttal-I
.	Rebuttal-I
