If	Claim-B
I	Claim-I
had	Claim-I
school	Claim-I
age	Claim-I
children	Claim-I
,	Claim-I
they	Claim-I
would	Claim-I
not	Claim-I
go	Claim-I
to	Claim-I
any	Claim-I
public	Claim-I
school	Claim-I
.	Claim-I
My	Claim-I
future	Claim-I
grandchildren	Claim-I
will	Claim-I
not	Claim-I
go	Claim-I
to	Claim-I
public	Claim-I
school	Claim-I
.	Claim-I
Why	O
would	O
anyone	O
write	O
an	O
article	O
sighting	O
that	O
parents	O
are	O
"	O
bad	O
"	O
for	O
choosing	O
private	O
over	O
public	O
,	O
let	O
me	O
guess	O
,	O
probably	O
a	O
progressive	O
liberal	O
who	O
feels	O
that	O
ALL	O
children	O
need	O
to	O
be	O
indoctrinated	O
with	O
garbage	O
and	O
forced	O
sexuality	O
that	O
is	O
not	O
age	O
appropriate	O
.	O
Yes	Premise-B
I	Premise-I
took	Premise-I
my	Premise-I
son	Premise-I
out	Premise-I
of	Premise-I
public	Premise-I
school	Premise-I
because	Premise-I
I	Premise-I
felt	Premise-I
that	Premise-I
the	Premise-I
(	Premise-I
lack	Premise-I
of	Premise-I
)	Premise-I
education	Premise-I
he	Premise-I
was	Premise-I
receiving	Premise-I
was	Premise-I
not	Premise-I
up	Premise-I
to	Premise-I
standard	Premise-I
.	Premise-I
He	Premise-I
was	Premise-I
in	Premise-I
5th	Premise-I
grade	Premise-I
and	Premise-I
his	Premise-I
spelling	Premise-I
words	Premise-I
were	Premise-I
the	Premise-I
days	Premise-I
of	Premise-I
the	Premise-I
week	Premise-I
,	Premise-I
and	Premise-I
one	Premise-I
of	Premise-I
four	Premise-I
native	Premise-I
English	Premise-I
speaker	Premise-I
in	Premise-I
his	Premise-I
class	Premise-I
.	Premise-I
The	Premise-B
teachers	Premise-I
from	Premise-I
my	Premise-I
experience	Premise-I
,	Premise-I
expect	Premise-I
the	Premise-I
students	Premise-I
to	Premise-I
teach	Premise-I
themselves	Premise-I
,	Premise-I
they	Premise-I
have	Premise-I
more	Premise-I
important	Premise-I
thing	Premise-I
to	Premise-I
do	Premise-I
like	Premise-I
converse	Premise-I
with	Premise-I
their	Premise-I
friends	Premise-I
(	Premise-I
other	Premise-I
staff	Premise-I
)	Premise-I
,	Premise-I
take	Premise-I
care	Premise-I
of	Premise-I
personal	Premise-I
business	Premise-I
etc	Premise-I
.	Premise-I
Oh	Premise-I
and	Premise-I
now	Premise-I
in	Premise-I
Ca	Premise-I
.	Premise-I
,	Premise-I
add	Premise-I
the	Premise-I
confusion	Premise-I
of	Premise-I
gender	Premise-I
identity	Premise-I
to	Premise-I
the	Premise-I
mix	Premise-I
,	Premise-I
where	Premise-I
98%	Premise-I
of	Premise-I
the	Premise-I
students	Premise-I
will	Premise-I
be	Premise-I
forced	Premise-I
to	Premise-I
accommodate	Premise-I
less	Premise-I
than	Premise-I
2%	Premise-I
,	Premise-I
causing	Premise-I
many	Premise-I
to	Premise-I
be	Premise-I
afraid	Premise-I
of	Premise-I
using	Premise-I
school	Premise-I
restrooms	Premise-I
because	Premise-I
now	Premise-I
all	Premise-I
any	Premise-I
student	Premise-I
has	Premise-I
to	Premise-I
say	Premise-I
is	Premise-I
"	Premise-I
I	Premise-I
feel	Premise-I
like	Premise-I
a	Premise-I
boy	Premise-I
/	Premise-I
girl	Premise-I
today	Premise-I
so	Premise-I
I	Premise-I
want	Premise-I
to	Premise-I
use	Premise-I
the	Premise-I
opposite	Premise-I
gender	Premise-I
restroom	Premise-I
today	Premise-I
"	Premise-I
and	Premise-I
now	Premise-I
preteen	Premise-I
/	Premise-I
teen	Premise-I
boy	Premise-I
can	Premise-I
just	Premise-I
walk	Premise-I
into	Premise-I
a	Premise-I
girls	Premise-I
HS	Premise-I
locker	Premise-I
room	Premise-I
/	Premise-I
shower	Premise-I
any	Premise-I
time	Premise-I
he	Premise-I
wants	Premise-I
,	Premise-I
even	Premise-I
while	Premise-I
girls	Premise-I
are	Premise-I
showering	Premise-I
.	Premise-I
This	O
article	O
was	O
nothing	O
more	O
than	O
union	O
propaganda	O
because	O
we	O
all	O
know	O
how	O
supportive	O
unions	O
are	O
of	O
non-union	O
entities	O
.	O
One	Premise-B
more	Premise-I
thing	Premise-I
,	Premise-I
at	Premise-I
least	Premise-I
a	Premise-I
private	Premise-I
school	Premise-I
can	Premise-I
FIRE	Premise-I
a	Premise-I
teacher	Premise-I
for	Premise-I
legitimate	Premise-I
reasons	Premise-I
(	Premise-I
molesting	Premise-I
kids	Premise-I
,	Premise-I
etc	Premise-I
)	Premise-I
unlike	Premise-I
public	Premise-I
schools	Premise-I
who	Premise-I
'	Premise-I
s	Premise-I
teachers	Premise-I
unions	Premise-I
have	Premise-I
PROTECTED	Premise-I
those	Premise-I
who	Premise-I
have	Premise-I
committed	Premise-I
crimes	Premise-I
against	Premise-I
our	Premise-I
children	Premise-I
(	Premise-I
ex	Premise-I
.	Premise-I
teacher	Premise-I
feeding	Premise-I
his	Premise-I
semen	Premise-I
to	Premise-I
children	Premise-I
on	Premise-I
cookies	Premise-I
)	Premise-I
.	Premise-I
