There	Claim-B
'	Claim-I
s	Claim-I
no	Claim-I
way	Claim-I
in	Claim-I
he**	Claim-I
I	Claim-I
would	Claim-I
send	Claim-I
my	Claim-I
kid	Claim-I
to	Claim-I
a	Claim-I
public	Claim-I
school	Claim-I
in	Claim-I
today	Claim-I
'	Claim-I
s	Claim-I
times	Claim-I
.	Claim-I
The	Premise-B
public	Premise-I
school	Premise-I
that	Premise-I
I	Premise-I
went	Premise-I
to	Premise-I
now	Premise-I
has	Premise-I
gangs	Premise-I
that	Premise-I
walk	Premise-I
the	Premise-I
hallways	Premise-I
.	Premise-I
Just	Premise-I
about	Premise-I
every	Premise-I
week	Premise-I
cops	Premise-I
are	Premise-I
called	Premise-I
to	Premise-I
this	Premise-I
school	Premise-I
because	Premise-I
of	Premise-I
either	Premise-I
a	Premise-I
shooting	Premise-I
/	Premise-I
stabbing	Premise-I
.	Premise-I
The	Premise-I
neighboring	Premise-I
county	Premise-I
public	Premise-I
schools	Premise-I
are	Premise-I
the	Premise-I
same	Premise-I
.	Premise-I
Your	Premise-I
public	Premise-I
schools	Premise-I
in	Premise-I
parts	Premise-I
of	Premise-I
this	Premise-I
country	Premise-I
have	Premise-I
become	Premise-I
a	Premise-I
cess	Premise-I
pool	Premise-I
of	Premise-I
degenerates	Premise-I
and	Premise-I
with	Premise-I
parents	Premise-I
that	Premise-I
are	Premise-I
about	Premise-I
the	Premise-I
same	Premise-I
.	Premise-I
I	O
would	O
work	O
two	O
jobs	O
if	O
needed	O
to	O
send	O
my	O
kid	O
to	O
a	O
private	O
school	O
(	O
one	O
that	O
I	O
had	O
done	O
a	O
lot	O
of	O
background	O
checking	O
into	O
first	O
)	O
.	O
Not	O
saying	O
that	O
private	O
schools	O
don	O
'	O
t	O
have	O
problems	O
either	O
but	O
none	O
to	O
the	O
ratio	O
that	O
public	O
schools	O
have	O
.	O
