The	Claim-B
public	Claim-I
schools	Claim-I
are	Claim-I
a	Claim-I
bad	Claim-I
place	Claim-I
to	Claim-I
send	Claim-I
a	Claim-I
kid	Claim-I
for	Claim-I
a	Claim-I
good	Claim-I
education	Claim-I
anymore	Claim-I
.	Claim-I
I	O
remember	O
when	O
they	O
started	O
teaching	O
in	O
Spanish	O
in	O
the	O
early	O
1990s	O
in	O
Illinois	O
.	O
My	O
kids	O
didn	O
'	O
t	O
speak	O
Spanish	O
,	O
so	O
I	O
pulled	O
them	O
out	O
,	O
and	O
they	O
went	O
to	O
private	O
schools	O
after	O
that	O
.	O
It	O
'	O
s	O
pretty	O
bad	O
when	O
we	O
have	O
to	O
raise	O
kids	O
that	O
don	O
'	O
t	O
belong	O
here	O
.	O
Also	Premise-B
,	Premise-I
the	Premise-I
private	Premise-I
schools	Premise-I
don	Premise-I
'	Premise-I
t	Premise-I
teach	Premise-I
all	Premise-I
of	Premise-I
this	Premise-I
anti	Premise-I
American	Premise-I
social	Premise-I
justice	Premise-I
crap	Premise-I
.	Premise-I
Private	Premise-I
schools	Premise-I
don	Premise-I
'	Premise-I
t	Premise-I
promote	Premise-I
all	Premise-I
of	Premise-I
this	Premise-I
gay	Premise-I
stuff	Premise-I
that	Premise-I
they	Premise-I
call	Premise-I
alternative	Premise-I
lifestyles	Premise-I
.	Premise-I
Just	O
look	O
at	O
the	O
law	O
that	O
California	O
governor	O
Brown	O
signed	O
a	O
couple	O
of	O
weeks	O
ago	O
.	O
It	O
says	O
that	O
transvestites	O
can	O
use	O
either	O
bathroom	O
facilities	O
,	O
and	O
that	O
they	O
can	O
play	O
on	O
either	O
team	O
in	O
sports	O
,	O
male	O
or	O
female	O
.	O
Just	O
do	O
what	O
'	O
s	O
best	O
for	O
your	O
kids	O
.	O
