There	Claim-B
is	Claim-I
no	Claim-I
place	Claim-I
for	Claim-I
religion	Claim-I
in	Claim-I
schools	Claim-I
nor	Claim-I
should	Claim-I
taxpayers	Claim-I
subsidize	Claim-I
any	Claim-I
religion	Claim-I
'	Claim-I
s	Claim-I
prayer	Claim-I
services	Claim-I
.	Claim-I
I	O
do	O
not	O
care	O
if	O
the	O
person	O
is	O
Christian	O
,	O
Muslim	O
,	O
Jewish	O
,	O
Hindu	O
,	O
Zorastrian	O
,	O
Buddhist	O
,	O
Jainist	O
,	O
Wiccan	O
,	O
Protestant	O
,	O
Catholic	O
,	O
Orthodox	O
,	O
or	O
Pagan	O
their	O
beliefs	O
belong	O
in	O
premises	O
financed	O
by	O
their	O
believers	O
not	O
the	O
government	O
.	O
Constitutionally	Premise-B
,	Premise-I
Canada	Premise-I
has	Premise-I
no	Premise-I
religion	Premise-I
,	Premise-I
although	Premise-I
some	Premise-I
mistakenly	Premise-I
believe	Premise-I
we	Premise-I
are	Premise-I
a	Premise-I
Christian	Premise-I
nation	Premise-I
even	Premise-I
though	Premise-I
legally	Premise-I
that	Premise-I
argument	Premise-I
has	Premise-I
no	Premise-I
ground	Premise-I
.	Premise-I
Lets	O
keep	O
it	O
that	O
way	O
.	O
Allowing	Premise-B
prayer	Premise-I
in	Premise-I
schools	Premise-I
leads	Premise-I
to	Premise-I
prosetylization	Premise-I
and	Premise-I
that	Premise-I
is	Premise-I
unacceptable	Premise-I
.	Premise-I
