I	Rebuttal-B
believe	Rebuttal-I
that	Rebuttal-I
public	Rebuttal-I
are	Rebuttal-I
not	Rebuttal-I
a	Rebuttal-I
bad	Rebuttal-I
idea	Rebuttal-I
.	Rebuttal-I
Not	Rebuttal-I
everyone	Rebuttal-I
is	Rebuttal-I
economically	Rebuttal-I
stable	Rebuttal-I
enough	Rebuttal-I
to	Rebuttal-I
send	Rebuttal-I
their	Rebuttal-I
child	Rebuttal-I
to	Rebuttal-I
a	Rebuttal-I
private	Rebuttal-I
school	Rebuttal-I
.	Rebuttal-I
Yes	Rebuttal-I
,	Rebuttal-I
public	Rebuttal-I
school	Rebuttal-I
are	Rebuttal-I
overly	Rebuttal-I
populated	Rebuttal-I
,	Rebuttal-I
but	Rebuttal-I
they	Rebuttal-I
give	Rebuttal-I
students	Rebuttal-I
a	Rebuttal-I
chance	Rebuttal-I
to	Rebuttal-I
get	Rebuttal-I
an	Rebuttal-I
education	Rebuttal-I
.	Rebuttal-I
However	Refutation-B
,	Refutation-I
in	Refutation-I
private	Refutation-I
schools	Refutation-I
,	Refutation-I
the	Refutation-I
classes	Refutation-I
are	Refutation-I
smaller	Refutation-I
and	Refutation-I
there	Refutation-I
is	Refutation-I
more	Refutation-I
teacher	Refutation-I
to	Refutation-I
student	Refutation-I
communication	Refutation-I
.	Refutation-I
Honestly	Claim-B
,	Claim-I
if	Claim-I
you	Claim-I
can	Claim-I
afford	Claim-I
to	Claim-I
put	Claim-I
your	Claim-I
child	Claim-I
in	Claim-I
a	Claim-I
private	Claim-I
school	Claim-I
,	Claim-I
by	Claim-I
all	Claim-I
means	Claim-I
do	Claim-I
so	Claim-I
,	Claim-I
but	Claim-I
if	Claim-I
you	Claim-I
can	Claim-I
'	Claim-I
t	Claim-I
the	Claim-I
other	Claim-I
alternative	Claim-I
is	Claim-I
public	Claim-I
schooling	Claim-I
.	Claim-I
Education	O
is	O
very	O
important	O
and	O
as	O
long	O
as	O
the	O
child	O
is	O
learning	O
something	O
,	O
thats	O
all	O
that	O
matters	O
