My	Backing-B
10	Backing-I
year	Backing-I
old	Backing-I
is	Backing-I
in	Backing-I
a	Backing-I
private	Backing-I
school	Backing-I
.	Backing-I
This	Backing-I
will	Backing-I
be	Backing-I
her	Backing-I
second	Backing-I
year	Backing-I
.	Backing-I
In	Backing-I
public	Backing-I
school	Backing-I
she	Backing-I
was	Backing-I
the	Backing-I
only	Backing-I
Caucasian	Backing-I
kid	Backing-I
in	Backing-I
her	Backing-I
class	Backing-I
in	Backing-I
third	Backing-I
grade	Backing-I
.	Backing-I
And	Backing-I
she	Backing-I
always	Backing-I
said	Backing-I
the	Backing-I
Mexican	Backing-I
kids	Backing-I
was	Backing-I
really	Backing-I
mean	Backing-I
to	Backing-I
her	Backing-I
.	Backing-I
This	Backing-I
was	Backing-I
a	Backing-I
small	Backing-I
town	Backing-I
in	Backing-I
Texas	Backing-I
.	Backing-I
No	Claim-B
more	Claim-I
will	Claim-I
she	Claim-I
ever	Claim-I
go	Claim-I
to	Claim-I
a	Claim-I
public	Claim-I
school	Claim-I
again	Claim-I
.	Claim-I
I	Premise-B
'	Premise-I
m	Premise-I
not	Premise-I
having	Premise-I
third	Premise-I
grade	Premise-I
kids	Premise-I
profile	Premise-I
my	Premise-I
daughter	Premise-I
because	Premise-I
she	Premise-I
'	Premise-I
s	Premise-I
not	Premise-I
Mexican	Premise-I
.	Premise-I
Every	Premise-I
school	Premise-I
function	Premise-I
I	Premise-I
went	Premise-I
to	Premise-I
most	Premise-I
all	Premise-I
the	Premise-I
parents	Premise-I
couldn	Premise-I
'	Premise-I
t	Premise-I
speak	Premise-I
English	Premise-I
and	Premise-I
the	Premise-I
kids	Premise-I
would	Premise-I
act	Premise-I
like	Premise-I
they	Premise-I
was	Premise-I
a	Premise-I
little	Premise-I
gang	Premise-I
member	Premise-I
or	Premise-I
something	Premise-I
.	Premise-I
NO	O
!	O
Not	Premise-B
having	Premise-I
it	Premise-I
.	Premise-I
.	Premise-I
.	Premise-I
.	Premise-I
.	Premise-I
.	Premise-I
So	Premise-I
you	Premise-I
can	Premise-I
judge	Premise-I
and	Premise-I
tell	Premise-I
me	Premise-I
I	Premise-I
'	Premise-I
m	Premise-I
wrong	Premise-I
,	Premise-I
but	Premise-I
my	Premise-I
kid	Premise-I
is	Premise-I
making	Premise-I
way	Premise-I
better	Premise-I
grades	Premise-I
then	Premise-I
she	Premise-I
was	Premise-I
when	Premise-I
she	Premise-I
was	Premise-I
in	Premise-I
public	Premise-I
schools	Premise-I
.	Premise-I
I	O
know	O
it	O
sounds	O
wrong	O
,	O
but	O
that	O
'	O
s	O
the	O
way	O
it	O
is	O
.	O
.	O
.	O
