When	Backing-B
I	Backing-I
was	Backing-I
teaching	Backing-I
Intro	Backing-I
Psych	Backing-I
in	Backing-I
SW	Backing-I
Virginia	Backing-I
in	Backing-I
some	Backing-I
of	Backing-I
community	Backing-I
colleges	Backing-I
and	Backing-I
local	Backing-I
colleges	Backing-I
I	Backing-I
ran	Backing-I
into	Backing-I
the	Backing-I
same	Backing-I
thing	Backing-I
.	Backing-I
There	Premise-B
were	Premise-I
home	Premise-I
schooled	Premise-I
students	Premise-I
in	Premise-I
the	Premise-I
class	Premise-I
that	Premise-I
did	Premise-I
not	Premise-I
even	Premise-I
have	Premise-I
the	Premise-I
fundamentals	Premise-I
down	Premise-I
.	Premise-I
Worse	Premise-B
yet	Premise-I
even	Premise-I
the	Premise-I
most	Premise-I
successful	Premise-I
ones	Premise-I
while	Premise-I
good	Premise-I
at	Premise-I
rote	Premise-I
items	Premise-I
were	Premise-I
quite	Premise-I
helpless	Premise-I
and	Premise-I
pathetic	Premise-I
when	Premise-I
it	Premise-I
came	Premise-I
to	Premise-I
independent	Premise-I
or	Premise-I
critical	Premise-I
thinking	Premise-I
.	Premise-I
Again	O
it	O
was	O
another	O
of	O
those	O
cases	O
where	O
keeping	O
them	O
uneducated	O
and	O
ignorant	O
keeps	O
them	O
in	O
the	O
church	O
.	O
