I	Premise-B
went	Premise-I
to	Premise-I
a	Premise-I
private	Premise-I
school	Premise-I
and	Premise-I
the	Premise-I
public	Premise-I
system	Premise-I
could	Premise-I
never	Premise-I
have	Premise-I
given	Premise-I
me	Premise-I
the	Premise-I
same	Premise-I
experience	Premise-I
and	Premise-I
quality	Premise-I
education	Premise-I
.	Premise-I
We	O
should	O
make	O
the	O
public	O
system	O
as	O
good	O
as	O
possible	O
for	O
those	O
who	O
can	O
'	O
t	O
afford	O
it	O
but	O
if	O
parents	O
want	O
their	O
kids	O
to	O
get	O
a	O
better	O
education	O
than	O
the	O
system	O
provides	O
don	O
'	O
t	O
stop	O
them	O
.	O
The	O
government	O
doesn	O
'	O
t	O
have	O
to	O
intervene	O
in	O
everything	O
.	O
