There	Premise-B
are	Premise-I
some	Premise-I
great	Premise-I
studies	Premise-I
coming	Premise-I
out	Premise-I
of	Premise-I
Canada	Premise-I
and	Premise-I
are	Premise-I
even	Premise-I
being	Premise-I
tried	Premise-I
in	Premise-I
some	Premise-I
U	Premise-I
.	Premise-I
S	Premise-I
.	Premise-I
schools	Premise-I
.	Premise-I
The	Premise-I
data	Premise-I
indicates	Premise-I
that	Premise-I
children	Premise-I
born	Premise-I
Jan	Premise-I
.	Premise-I
-April	Premise-I
outperform	Premise-I
both	Premise-I
physically	Premise-I
and	Premise-I
academically	Premise-I
than	Premise-I
their	Premise-I
peers	Premise-I
born	Premise-I
May-Dec	Premise-I
.	Premise-I
It	Claim-B
indicates	Claim-I
that	Claim-I
those	Claim-I
born	Claim-I
June-Dec	Claim-I
.	Claim-I
should	Claim-I
be	Claim-I
held	Claim-I
back	Claim-I
from	Claim-I
kindergarten	Claim-I
a	Claim-I
year	Claim-I
.	Claim-I
Problem	O
is	O
too	O
many	O
parents	O
want	O
to	O
ship	O
them	O
out	O
sooner	O
than	O
later	O
to	O
eliminate	O
day	O
care	O
expenses	O
and	O
having	O
them	O
around	O
another	O
year	O
.	O
