I	Backing-B
have	Backing-I
five	Backing-I
Daughters	Backing-I
and	Backing-I
they	Backing-I
all	Backing-I
went	Backing-I
to	Backing-I
private	Backing-I
schools	Backing-I
and	Backing-I
everyone	Backing-I
of	Backing-I
them	Backing-I
have	Backing-I
a	Backing-I
degree	Backing-I
and	Backing-I
now	Backing-I
have	Backing-I
good	Backing-I
paying	Backing-I
jobs	Backing-I
.	Backing-I
Private	Premise-B
schools	Premise-I
get	Premise-I
students	Premise-I
ready	Premise-I
for	Premise-I
collage	Premise-I
and	Premise-I
they	Premise-I
are	Premise-I
given	Premise-I
lots	Premise-I
of	Premise-I
attention	Premise-I
.	Premise-I
MMVSG	O
