The	Claim-B
public	Claim-I
schools	Claim-I
are	Claim-I
not	Claim-I
going	Claim-I
to	Claim-I
get	Claim-I
better	Claim-I
.	Claim-I
Being	Premise-B
an	Premise-I
involved	Premise-I
parent	Premise-I
with	Premise-I
kids	Premise-I
in	Premise-I
public	Premise-I
schools	Premise-I
,	Premise-I
it	Premise-I
doesn	Premise-I
'	Premise-I
t	Premise-I
matter	Premise-I
what	Premise-I
policies	Premise-I
I	Premise-I
try	Premise-I
to	Premise-I
bring	Premise-I
about	Premise-I
,	Premise-I
or	Premise-I
suggestions	Premise-I
I	Premise-I
bring	Premise-I
,	Premise-I
or	Premise-I
SAFETY	Premise-I
CONCERNS	Premise-I
that	Premise-I
I	Premise-I
have	Premise-I
made	Premise-I
the	Premise-I
schools	Premise-I
and	Premise-I
transportation	Premise-I
departments	Premise-I
aware	Premise-I
of	Premise-I
,	Premise-I
things	Premise-I
will	Premise-I
NOT	Premise-I
change	Premise-I
.	Premise-I
When	Backing-B
the	Backing-I
average	Backing-I
$$	Backing-I
amount	Backing-I
spent	Backing-I
on	Backing-I
educating	Backing-I
a	Backing-I
child	Backing-I
is	Backing-I
around	Backing-I
$12k	Backing-I
and	Backing-I
it	Backing-I
costs	Backing-I
$40k+	Backing-I
to	Backing-I
house	Backing-I
a	Backing-I
prisoner	Backing-I
,	Backing-I
then	Backing-I
that	Backing-I
is	Backing-I
where	Backing-I
one	Backing-I
of	Backing-I
the	Backing-I
problems	Backing-I
lies	Backing-I
.	Backing-I
And	O
people	O
who	O
are	O
fortunate	O
enough	O
to	O
send	O
their	O
children	O
to	O
a	O
private	O
school	O
or	O
to	O
,	O
even	O
better	O
,	O
homeschool	O
,	O
are	O
not	O
going	O
to	O
make	O
a	O
difference	O
.	O
There	O
are	O
MANY	O
issues	O
with	O
how	O
public	O
education	O
is	O
formed	O
,	O
and	O
the	O
parents	O
sending	O
their	O
kids	O
to	O
private	O
school	O
,	O
are	O
not	O
going	O
to	O
make	O
a	O
difference	O
.	O
That	O
is	O
up	O
to	O
government	O
officials	O
to	O
start	O
listening	O
to	O
the	O
public	O
and	O
making	O
the	O
right	O
changes	O
.	O
